,age,sex,experience,experience_role,experience_years,hard_skills,soft_skills,certifications,degree,training,job_field,job_position
50,30.0,female,recruited candidates for various administrative roles,admin recruiter,5,"candidate sourcing, resume screening, interviewing","communication, organizational skills",False,human resource,True,hr & admin,recruiter
51,32.0,,managed recruitment processes for executive positions,management recruiter,8,"executive search, talent mapping, negotiation","leadership, communication",True,business administration,True,hr & admin,recruiter
52,28.0,female,coordinated recruitment activities for HR department,hr officer recruiter,6,"HR processes, interviewing, employee onboarding","organizational skills, interpersonal skills",True,human resource,True,hr & admin,recruiter
53,,,sourced and screened candidates for entry-level roles,junior recruiter,4,"candidate sourcing, screening, recruitment tools","communication, adaptability",False,business administration,True,hr & admin,recruiter
54,,female,managed recruitment operations for a tech company,recruiter,7,"technical recruiting, applicant tracking systems","problem solving, teamwork",True,computer science,True,hr & admin,recruiter
55,35.0,male,recruited administrative professionals for a law firm,admin recruiter,9,"legal administrative knowledge, candidate assessment","communication, attention to detail",True,,True,hr & admin,recruiter
56,29.0,,conducted interviews and assessments for IT positions,junior recruiter,5,"IT recruitment, technical assessments, coding tests","communication, problem solving",True,information technology,True,hr & admin,recruiter
57,,,managed recruitment processes for a multinational company,management recruiter,10,"global recruitment, cross-cultural communication","leadership, negotiation",False,,True,hr & admin,recruiter
58,,,"identified and screened top talent through online platforms and professional networks, exceeding hiring goals by 15%.",admin recruiter,6,"healthcare recruitment, interviewing, compliance","organizational skills, empathy",True,healthcare management,True,hr & admin,recruiter
59,37.0,male,"attracted and qualified diverse candidates for engineering positions, utilizing targeted sourcing strategies and building strong relationships with universities.",talent acquisition specialist,8,"finance knowledge, candidate evaluation, networking","communication, adaptability",True,finance,True,hr & admin,recruiter
60,35.0,female,streamlined the recruitment process by implementing an applicant tracking system and developing efficient onboarding procedures.,recruitment officer,7,"startup recruiting, fast-paced hiring environment","adaptability, problem solving",False,business administration,True,hr & admin,recruiter
61,,,partnered with hiring managers to understand business needs and source specialized talent for IT and healthcare positions.,recruiting specialist,12,"retail management knowledge, leadership skills","communication, negotiation",True,,True,hr & admin,recruiter
62,,,"provided excellent candidate care throughout the recruitment process, maintaining a positive candidate experience and high offer acceptance rate.",recruiter,6,"engineering recruitment, technical assessments","problem solving, teamwork",True,,True,hr & admin,recruiter
63,41.0,male,"successfully placed senior executives in fortune 500 companies, leveraging extensive industry knowledge and strong negotiation skills.",recruitment consultant,14,"consulting industry knowledge, client interaction","communication, organizational skills",False,business administration,True,hr & admin,recruiter
64,34.0,female,"recruited software engineers with cutting-edge skills for high-growth startups, utilizing technical assessments and hackathons.",technical recruiter,8,"startup environment knowledge, agile recruiting","adaptability, problem solving",True,business administration,True,hr & admin,recruiter
65,,male,"managed the recruitment process for manufacturing roles, coordinating with production teams and conducting on-site interviews.",production recruiter,10,"marketing knowledge, candidate evaluation, networking","communication, adaptability",True,marketing,True,hr & admin,recruiter
66,36.0,female,"identified and recruited high-performing managers for fortune 500 companies, focusing on leadership potential and cultural fit.",management recruiter,12,"manufacturing industry knowledge, candidate assessment","organizational skills, interpersonal skills",True,industrial engineering,True,hr & admin,recruiter
67,,male,partnered with senior executives to develop strategic talent acquisition plans and source top talent across all levels.,talent acquisition consultant,15,"financial industry knowledge, leadership skills","communication, negotiation",True,finance,True,hr & admin,recruiter
68,38.0,,"placed CEOs and c-suite executives for top companies globally, utilizing in-depth leadership assessment and confidential search methods.",executive recruiter,10,"HR knowledge, employee relations, interviewing","organizational skills, empathy",True,human resource,True,hr & admin,recruiter
69,47.0,,"managed the recruitment process for all corporate functions, building strong relationships with internal stakeholders and streamlining hiring procedures.",corporate recruiter,12,"IT recruitment, technical assessments, coding tests","communication, problem solving",True,computer science,True,hr & admin,recruiter
70,,female,"developed and implemented comprehensive talent acquisition strategies, aligning with business goals and ensuring a diverse talent pool.",talent acquisition,11,"pharmaceutical industry knowledge, regulatory compliance","adaptability, problem solving",False,,True,hr & admin,recruiter
71,49.0,male,"scoured social media, online communities, and industry events to identify and engage with potential candidates.",sourcer,18,"technology industry knowledge, client interaction","communication, organizational skills",True,information technology,True,hr & admin,recruiter
72,,female,"supported senior talent acquisition professionals with research, candidate outreach, and administrative tasks.",talent acquisition intern,13,"finance knowledge, candidate evaluation, networking","communication, adaptability",True,finance,True,hr & admin,recruiter
73,51.0,,collaborated with universities and academic institutions to attract and recruit undergraduate and graduate talent.,campus recruiter,20,"e-commerce industry knowledge, leadership skills","communication, negotiation",True,business administration,True,hr & admin,recruiter
74,,,"led the talent acquisition function for a growing tech startup, implementing innovative sourcing strategies and scaling the team.",talent acquisition manager,8,"telecom industry knowledge, candidate assessment","communication, problem solving",True,,True,hr & admin,recruiter
75,,male,"provided expert consulting on talent acquisition best practices, working with clients to optimize their recruitment processes.",talent acquisition consultant,6,"software development recruitment, coding tests","communication, adaptability",True,computer science,True,hr & admin,recruiter
76,,female,"oversaw all HR functions, including recruitment, performance management, and employee relations.",hr manager,7,"logistics industry knowledge, candidate evaluation","organizational skills, interpersonal skills",False,business administration,True,hr & admin,recruiter
77,,male,"supported hiring managers with all aspects of the recruitment process, from job description writing to interview scheduling.",staffing specialist,9,"healthcare industry knowledge, interviewing","leadership, communication",True,nursing,True,hr & admin,recruiter
78,,,"gained valuable experience in the recruitment field, learning the fundamentals of sourcing, screening, and interviewing candidates.",junior recruiter,8,"e-commerce industry knowledge, agile recruiting","adaptability, problem solving",True,business administration,True,hr & admin,recruiter
79,,male,"entered the recruitment world with enthusiasm and a strong work ethic, eager to learn and contribute to the team.",entry-level recruiter,6,"sales recruitment, candidate assessment","communication, adaptability",True,marketing,True,hr & admin,recruiter
80,31.0,female,coordinated recruitment activities for a construction company,admin recruiter,7,"construction industry knowledge, candidate evaluation","organizational skills, interpersonal skills",True,civil engineering,True,hr & admin,recruiter
81,36.0,male,recruited candidates for financial advisory roles,management recruiter,10,"financial advisory knowledge, candidate assessment","leadership, communication",False,financial management,True,hr & admin,recruiter
82,32.0,female,sourced and screened candidates for IT positions,junior recruiter,8,"IT recruitment, technical assessments, coding tests","communication, problem solving",True,information technology,True,hr & admin,recruiter
83,,,managed recruitment processes for a real estate company,recruiter,11,"real estate industry knowledge, agile recruiting","adaptability, problem solving",True,,True,hr & admin,recruiter
84,33.0,,coordinated recruitment activities for a pharmaceutical company,admin recruiter,8,"pharmaceutical industry knowledge, candidate assessment","organizational skills, interpersonal skills",True,pharmacy,True,hr & admin,recruiter
85,38.0,male,recruited candidates for marketing positions,management recruiter,12,"marketing knowledge, candidate evaluation","leadership, communication",True,marketing,True,hr & admin,recruiter
86,,female,"coordinated recruitment events, conducted interviews, and provided support in the candidate selection process.",recruitment consultant,9,"HR recruitment, interviewing, employee onboarding","communication, adaptability",True,human resource,True,hr & admin,recruiter
87,39.0,male,"managed end-to-end recruitment process, conducted interviews, and provided support in talent acquisition initiatives.",talent acquisition recruiter,13,"startup recruiting, fast-paced hiring environment","adaptability, problem solving",False,business administration,True,hr & admin,recruiter
88,35.0,,"conducted recruitment activities, managed candidate pipelines, and provided administrative support to the HR team.",talent acquisition specialist,10,"manufacturing industry knowledge, candidate assessment","organizational skills, interpersonal skills",True,industrial engineering,True,hr & admin,recruiter
89,,male,"collaborated with hiring managers to define job requirements, conducted interviews, and managed the candidate selection process.",recruiting manager,15,"executive search, talent mapping, negotiation","leadership, communication",True,business administration,True,hr & admin,recruiter
90,36.0,female,"developed and executed talent acquisition strategies, managed recruitment budgets, and conducted market research.",talent acquisition consultant,11,"startup environment knowledge, agile recruiting","adaptability, problem solving",True,business administration,True,hr & admin,recruiter
91,41.0,,"coordinated recruitment efforts, conducted initial candidate screenings, and managed the onboarding process.",entry-level recruiter,16,"candidate sourcing, resume screening, interviewing","communication, organizational skills",False,business administration,True,hr & admin,recruiter
92,,female,"conducted interviews, managed candidate relationships, and provided support in the recruitment process.",corporate recruiter,12,"healthcare recruitment, interviewing, compliance","organizational skills, empathy",True,healthcare management,True,hr & admin,recruiter
93,42.0,male,sourced and screened candidates for finance positions,junior recruiter,14,"finance knowledge, candidate evaluation, networking","communication, adaptability",True,finance,True,hr & admin,recruiter
94,38.0,,managed recruitment processes for a consulting firm,recruiter,13,"consulting industry knowledge, client interaction","communication, organizational skills",False,business administration,True,hr & admin,recruiter
95,43.0,male,coordinated recruitment activities for a technology firm,admin recruiter,18,"technology industry knowledge, client interaction","communication, organizational skills",True,information technology,True,hr & admin,recruiter
96,,female,sourced and screened candidates for IT positions,junior recruiter,15,"IT recruitment, technical assessments, coding tests","communication, problem solving",True,information technology,True,hr & admin,recruiter
97,44.0,,managed recruitment processes for a financial institution,management recruiter,20,"financial industry knowledge, leadership skills","communication, negotiation",True,finance,True,hr & admin,recruiter
98,40.0,female,coordinated recruitment activities for a technology startup,recruiter,16,"technology startup environment knowledge, agile recruiting","adaptability, problem solving",True,business administration,True,hr & admin,recruiter
99,45.0,,recruited candidates for technology roles,junior recruiter,17,"technology recruitment, coding assessments","communication, adaptability",True,information technology,True,hr & admin,recruiter
150,30.0,female,managed HR operations and employee relations,hr manager,8,"employee relations, HR policies, conflict resolution","communication, leadership",True,human resource,True,hr & admin,hr manager
151,,,oversaw office administration and facilities coordination,office administrator,10,"office management, facilities coordination, administration","organizational skills, attention to detail",False,business administration,True,hr & admin,hr manager
152,28.0,female,led projects and managed teams for process improvement,project manager,7,"project management, team leadership, process improvement","communication, problem solving",False,business administration,True,hr & admin,hr manager
153,34.0,,coordinated office facilities and ensured smooth operations,facilities coordinator,9,"facilities management, coordination, vendor management","organizational skills, adaptability",True,facilities management,True,hr & admin,hr manager
154,31.0,female,handled administrative tasks and supported office operations,administrative officer,8,"administrative support, office operations, data management","communication, attention to detail",False,business administration,True,hr & admin,hr manager
155,,,managed HR functions and implemented employee engagement,hr manager,11,"employee engagement, HR policies, talent acquisition","communication, leadership",True,human resource,True,hr & admin,hr manager
156,29.0,female,"managed HR functions, oversaw recruitment, and led employee relations initiatives.",hr manager,6,"office management, process optimization, administration","organizational skills, attention to detail",True,business administration,True,hr & admin,hr manager
157,36.0,male,"coordinated office operations, managed supplies, and supported administrative tasks.",office manager,12,"project management, budgeting, stakeholder communication","problem solving, leadership",False,business administration,True,hr & admin,hr manager
158,33.0,,"assisted in HR processes, conducted employee onboarding, and managed HR documentation.",human resource officer,7,"facilities management, coordination, workplace efficiency","organizational skills, adaptability",True,facilities management,True,hr & admin,hr manager
159,37.0,male,"developed HR strategies, led a team, and ensured compliance with HR policies.",human resource manager,10,"administrative support, efficiency improvement, data management","communication, attention to detail",False,business administration,True,hr & admin,hr manager
160,,female,"implemented human resources policies, managed HR team, and led employee engagement initiatives.",human resources manager,9,"talent development, HR initiatives, employee relations","communication, leadership",True,human resource,True,hr & admin,hr manager
161,38.0,,"assisted in managing daily operations, supervised staff, and contributed to decision-making.",assistant manager,11,"office supplies management, process optimization, administration","organizational skills, attention to detail",False,business administration,True,hr & admin,hr manager
162,34.0,female,"achieved sales targets, built client relationships, and conducted product presentations.",sales professional,10,"project management, risk assessment, stakeholder communication","problem solving, leadership",True,project management,True,hr & admin,hr manager
163,,male,"provided administrative support, managed office tasks, and coordinated services.",administrative services specialist,8,"facilities maintenance, safety measures, coordination","organizational skills, adaptability",True,facilities management,True,hr & admin,hr manager
164,36.0,female,"led end-to-end recruitment processes, interviewed candidates, and built talent pipelines.",talent acquisition specialist,12,"administrative support, efficiency improvement, data management","communication, attention to detail",True,business administration,True,hr & admin,hr manager
165,,,"managed recruitment activities, led a team, and implemented effective hiring strategies.",recruitment manager,13,"HR policies implementation, employee training, talent acquisition","communication, leadership",True,human resource,True,hr & admin,hr manager
166,37.0,female,"developed and implemented employee engagement programs, conducted surveys, and analyzed results.",employee engagement specialist,9,"office management, administrative efficiency, process optimization","organizational skills, attention to detail",False,business administration,True,hr & admin,hr manager
167,41.0,male,"administered compensation and benefits programs, conducted market research, and managed payroll.",compensation and benefits specialist,14,"project management, cross-functional collaboration, stakeholder communication","problem solving, leadership",False,business administration,True,hr & admin,hr manager
168,,female,"coordinated recruitment activities, managed interview schedules, and assisted in candidate selection.",recruitment coordinator,10,"facilities coordination, workplace safety, vendor management","organizational skills, adaptability",True,facilities management,True,hr & admin,hr manager
169,42.0,,"led employee relations initiatives, addressed workplace issues, and provided conflict resolution.",employee relations manager,15,"administrative support, process optimization, data management","communication, attention to detail",True,business administration,True,hr & admin,hr manager
170,,female,"developed talent management strategies, identified high-potential employees, and implemented development plans.",talent management specialist,11,"employee engagement, HR initiatives, talent acquisition","communication, leadership",True,human resource,True,hr & admin,hr manager
171,43.0,male,"designed and implemented employee development programs, conducted training sessions, and assessed outcomes.",employee development specialist,12,"office management, process optimization, administration","organizational skills, attention to detail",False,business administration,True,hr & admin,hr manager
172,40.0,female,"managed HR functions, oversaw recruitment, and led employee relations initiatives.",hr manager,16,"project portfolio management, risk assessment, stakeholder communication","problem solving, leadership",False,business administration,True,hr & admin,hr manager
173,,,"conducted employee relations activities, addressed workplace conflicts, and ensured a positive work environment.",employee relations specialist,11,"facilities maintenance, workplace efficiency, coordination","organizational skills, adaptability",True,facilities management,True,hr & admin,hr manager
174,41.0,,"led end-to-end recruitment processes, interviewed candidates, and built talent pipelines.",talent acquisition specialist,13,"administrative support, office operations, data management","communication, attention to detail",False,business administration,True,hr & admin,hr manager
175,31.0,female,"managed labor relations, ensured compliance with labor laws, and addressed employee concerns.",labor relations specialist,9,"HR strategy, employee engagement, talent acquisition","communication, leadership",True,human resource,True,hr & admin,hr manager
176,,,"developed and delivered training programs, assessed employee development needs, and facilitated workshops.",training & development specialist,11,"office management, administrative efficiency, process optimization","organizational skills, attention to detail",True,business administration,True,hr & admin,hr manager
177,29.0,,"implemented organizational development initiatives, conducted assessments, and recommended improvements.",organizational development specialist,8,"project coordination, process improvement, stakeholder communication","problem solving, leadership",False,business administration,True,hr & admin,hr manager
178,34.0,male,"led end-to-end recruitment processes, interviewed candidates, and built talent pipelines.",talent acquisition specialist,10,"facilities coordination, safety measures, vendor management","organizational skills, adaptability",True,facilities management,True,hr & admin,hr manager
179,,female,"administered compensation and benefits programs, conducted market research, and managed payroll.",compensation and benefits specialist,9,"administrative support, office operations, data management","communication, attention to detail",False,business administration,True,hr & admin,hr manager
180,35.0,,managed HR functions and conducted training programs,hr manager,12,"HR functions, employee training, talent acquisition","communication, leadership",True,human resource,True,hr & admin,hr manager
181,,female,oversaw office administration and ensured efficient processes,office administrator,7,"office management, process optimization, administration","organizational skills, attention to detail",False,business administration,True,hr & admin,hr manager
182,36.0,male,successfully delivered projects within scope and budget,project manager,13,"project management, budgeting, stakeholder communication","problem solving, leadership",True,project management,True,hr & admin,hr manager
183,,,managed facilities coordination and improved workplace efficiency,facilities coordinator,8,"facilities management, coordination, workplace efficiency","organizational skills, adaptability",True,facilities management,True,hr & admin,hr manager
184,,male,handled administrative tasks and ensured office efficiency,administrative officer,11,"administrative support, efficiency improvement, data management","communication, attention to detail",True,business administration,True,hr & admin,hr manager
185,32.0,female,led HR initiatives and conducted employee development programs,hr manager,10,"employee development, HR initiatives, employee relations","communication, leadership",False,human resource,True,hr & admin,hr manager
186,38.0,male,maintained office supplies and streamlined administrative processes,office administrator,12,"office supplies management, process optimization, administration","organizational skills, attention to detail",True,business administration,True,hr & admin,hr manager
