,age,sex,experience,experience_role,experience_years,hard_skills,soft_skills,certifications,degree,training,job_field,job_position
50,30.0,female,recruited candidates for various administrative roles,admin recruiter,5,"candidate sourcing, resume screening, interviewing","communication, organizational skills",False,human resource,True,hr & admin,recruiter
51,32.0,,managed recruitment processes for executive positions,management recruiter,8,"executive search, talent mapping, negotiation","leadership, communication",True,business administration,True,hr & admin,recruiter
52,28.0,female,coordinated recruitment activities for HR department,hr officer recruiter,6,"HR processes, interviewing, employee onboarding","organizational skills, interpersonal skills",True,human resource,True,hr & admin,recruiter
53,,,sourced and screened candidates for entry-level roles,junior recruiter,4,"candidate sourcing, screening, recruitment tools","communication, adaptability",False,business administration,True,hr & admin,recruiter
54,,female,managed recruitment operations for a tech company,recruiter,7,"technical recruiting, applicant tracking systems","problem solving, teamwork",True,computer science,True,hr & admin,recruiter
55,35.0,male,recruited administrative professionals for a law firm,admin recruiter,9,"legal administrative knowledge, candidate assessment","communication, attention to detail",True,,True,hr & admin,recruiter
56,29.0,,conducted interviews and assessments for IT positions,junior recruiter,5,"IT recruitment, technical assessments, coding tests","communication, problem solving",True,information technology,True,hr & admin,recruiter
57,,,managed recruitment processes for a multinational company,management recruiter,10,"global recruitment, cross-cultural communication","leadership, negotiation",False,,True,hr & admin,recruiter
58,,,"identified and screened top talent through online platforms and professional networks, exceeding hiring goals by 15%.",admin recruiter,6,"healthcare recruitment, interviewing, compliance","organizational skills, empathy",True,healthcare management,True,hr & admin,recruiter
59,37.0,male,"attracted and qualified diverse candidates for engineering positions, utilizing targeted sourcing strategies and building strong relationships with universities.",talent acquisition specialist,8,"finance knowledge, candidate evaluation, networking","communication, adaptability",True,finance,True,hr & admin,recruiter
60,35.0,female,streamlined the recruitment process by implementing an applicant tracking system and developing efficient onboarding procedures.,recruitment officer,7,"startup recruiting, fast-paced hiring environment","adaptability, problem solving",False,business administration,True,hr & admin,recruiter
61,,,partnered with hiring managers to understand business needs and source specialized talent for IT and healthcare positions.,recruiting specialist,12,"retail management knowledge, leadership skills","communication, negotiation",True,,True,hr & admin,recruiter
62,,,"provided excellent candidate care throughout the recruitment process, maintaining a positive candidate experience and high offer acceptance rate.",recruiter,6,"engineering recruitment, technical assessments","problem solving, teamwork",True,,True,hr & admin,recruiter
63,41.0,male,"successfully placed senior executives in fortune 500 companies, leveraging extensive industry knowledge and strong negotiation skills.",recruitment consultant,14,"consulting industry knowledge, client interaction","communication, organizational skills",False,business administration,True,hr & admin,recruiter
64,34.0,female,"recruited software engineers with cutting-edge skills for high-growth startups, utilizing technical assessments and hackathons.",technical recruiter,8,"startup environment knowledge, agile recruiting","adaptability, problem solving",True,business administration,True,hr & admin,recruiter
65,,male,"managed the recruitment process for manufacturing roles, coordinating with production teams and conducting on-site interviews.",production recruiter,10,"marketing knowledge, candidate evaluation, networking","communication, adaptability",True,marketing,True,hr & admin,recruiter
66,36.0,female,"identified and recruited high-performing managers for fortune 500 companies, focusing on leadership potential and cultural fit.",management recruiter,12,"manufacturing industry knowledge, candidate assessment","organizational skills, interpersonal skills",True,industrial engineering,True,hr & admin,recruiter
67,,male,partnered with senior executives to develop strategic talent acquisition plans and source top talent across all levels.,talent acquisition consultant,15,"financial industry knowledge, leadership skills","communication, negotiation",True,finance,True,hr & admin,recruiter
68,38.0,,"placed CEOs and c-suite executives for top companies globally, utilizing in-depth leadership assessment and confidential search methods.",executive recruiter,10,"HR knowledge, employee relations, interviewing","organizational skills, empathy",True,human resource,True,hr & admin,recruiter
69,47.0,,"managed the recruitment process for all corporate functions, building strong relationships with internal stakeholders and streamlining hiring procedures.",corporate recruiter,12,"IT recruitment, technical assessments, coding tests","communication, problem solving",True,computer science,True,hr & admin,recruiter
